referral_id,referrer_user_id,referral_channel,referral_sent_date,referral_status,referral_accepted_date,reward_granted
R6_0,6,Email,2024-12-04,Pending,,
R6_1,6,Link,2024-12-03,Accepted,2024-12-13,1 month Pro
R7_0,7,WhatsApp,2024-02-23,Pending,,
R7_1,7,WhatsApp,2024-02-12,Pending,,
R7_2,7,WhatsApp,2024-02-13,Accepted,2024-02-17,1 month Pro
R7_3,7,Link,2024-03-05,Pending,,
R18_0,18,WhatsApp,2024-03-14,Accepted,2024-03-15,1 month Pro
R21_0,21,WhatsApp,2024-07-31,Pending,,
R24_0,24,Link,2024-12-27,Pending,,
R24_1,24,Instagram DM,2024-12-08,Accepted,2024-12-17,Template Unlock
R24_2,24,WhatsApp,2024-12-14,Accepted,2024-12-28,Credit Pack
R26_0,26,Email,2024-09-16,Pending,,
R30_0,30,WhatsApp,2024-06-16,Pending,,
R30_1,30,WhatsApp,2024-07-22,Accepted,2024-07-27,Template Unlock
R30_2,30,Link,2024-07-08,Pending,,
R30_3,30,Link,2024-07-19,Pending,,
R30_4,30,Team Invite,2024-06-25,Pending,,
R50_0,50,Instagram DM,2024-10-25,Pending,,
R50_1,50,WhatsApp,2024-11-11,Pending,,
R50_2,50,WhatsApp,2024-11-17,Accepted,2024-11-24,1 month Pro
R50_3,50,Email,2024-10-23,Pending,,
R63_0,63,Instagram DM,2024-06-16,Accepted,2024-06-22,1 month Pro
R63_1,63,Team Invite,2024-06-06,Accepted,2024-06-17,1 month Pro
R63_2,63,Link,2024-06-06,Pending,,
R67_0,67,Email,2025-01-01,Pending,,
R67_1,67,Link,2024-12-09,Accepted,2024-12-15,1 month Pro
R67_2,67,Link,2024-12-22,Pending,,
R70_0,70,WhatsApp,2024-07-29,Accepted,2024-07-31,Template Unlock
R70_1,70,Instagram DM,2024-07-26,Accepted,2024-08-10,Template Unlock
R70_2,70,WhatsApp,2024-06-26,Accepted,2024-07-07,Credit Pack
R70_3,70,Instagram DM,2024-07-07,Accepted,2024-07-14,Template Unlock
R72_0,72,WhatsApp,2024-04-19,Pending,,
R72_1,72,Email,2024-03-24,Pending,,
R72_2,72,WhatsApp,2024-03-27,Pending,,
R90_0,90,Instagram DM,2024-11-23,Accepted,2024-12-05,1 month Pro
R92_0,92,Email,2024-10-24,Pending,,
R92_1,92,Team Invite,2024-10-31,Accepted,2024-11-16,Template Unlock
R95_0,95,Link,2025-01-06,Pending,,
R95_1,95,WhatsApp,2025-01-05,Pending,,
R95_2,95,Link,2024-12-05,Accepted,2024-12-24,1 month Pro
R95_3,95,Link,2025-01-02,Accepted,2025-01-21,1 month Pro
R95_4,95,WhatsApp,2025-01-05,Pending,,
R98_0,98,Link,2024-09-09,Accepted,2024-09-26,Template Unlock
R98_1,98,Link,2024-09-18,Pending,,
R98_2,98,Link,2024-09-10,Pending,,
R98_3,98,Email,2024-09-28,Accepted,2024-09-30,Credit Pack
R99_0,99,Instagram DM,2024-08-30,Pending,,
R99_1,99,Instagram DM,2024-09-20,Pending,,
R99_2,99,Link,2024-08-22,Pending,,
R99_3,99,WhatsApp,2024-09-23,Pending,,
R100_0,100,Link,2024-02-23,Pending,,
R112_0,112,Team Invite,2024-10-26,Accepted,2024-11-05,1 month Pro
R112_1,112,Team Invite,2024-10-21,Accepted,2024-11-07,1 month Pro
R114_0,114,Team Invite,2024-06-24,Pending,,
R114_1,114,Link,2024-07-03,Pending,,
R114_2,114,Link,2024-06-19,Pending,,
R114_3,114,WhatsApp,2024-07-14,Accepted,2024-07-18,1 month Pro
R114_4,114,Link,2024-07-13,Accepted,2024-07-22,1 month Pro
R117_0,117,WhatsApp,2024-02-23,Accepted,2024-03-05,Credit Pack
R122_0,122,Link,2024-09-10,Accepted,2024-09-21,Credit Pack
R122_1,122,Email,2024-09-21,Pending,,
R122_2,122,Link,2024-09-06,Accepted,2024-09-18,Template Unlock
R123_0,123,WhatsApp,2024-09-05,Pending,,
R123_1,123,Team Invite,2024-09-08,Accepted,2024-09-25,Credit Pack
R123_2,123,Link,2024-10-09,Accepted,2024-10-27,1 month Pro
R131_0,131,WhatsApp,2024-08-04,Accepted,2024-08-19,Template Unlock
R131_1,131,Link,2024-08-26,Accepted,2024-09-07,Credit Pack
R133_0,133,Link,2024-02-22,Pending,,
R133_1,133,WhatsApp,2024-03-09,Accepted,2024-03-19,Credit Pack
R133_2,133,WhatsApp,2024-03-17,Accepted,2024-03-25,1 month Pro
R133_3,133,Link,2024-03-15,Pending,,
R133_4,133,Link,2024-03-02,Pending,,
R139_0,139,WhatsApp,2024-06-06,Pending,,
R139_1,139,Link,2024-06-16,Accepted,2024-07-04,Template Unlock
R139_2,139,WhatsApp,2024-05-12,Pending,,
R139_3,139,WhatsApp,2024-06-18,Pending,,
R139_4,139,Instagram DM,2024-05-31,Accepted,2024-06-04,Credit Pack
R141_0,141,Link,2025-02-06,Accepted,2025-02-20,Template Unlock
R141_1,141,Link,2025-01-22,Pending,,
R142_0,142,WhatsApp,2024-04-20,Accepted,2024-04-29,1 month Pro
R142_1,142,WhatsApp,2024-04-03,Pending,,
R151_0,151,WhatsApp,2024-12-05,Pending,,
R151_1,151,WhatsApp,2024-12-07,Accepted,2024-12-10,1 month Pro
R151_2,151,WhatsApp,2024-12-19,Pending,,
R151_3,151,Link,2024-11-13,Accepted,2024-11-28,1 month Pro
R151_4,151,Team Invite,2024-11-22,Accepted,2024-11-24,Credit Pack
R153_0,153,Instagram DM,2024-12-25,Accepted,2024-12-31,1 month Pro
R153_1,153,Link,2025-01-05,Pending,,
R153_2,153,Instagram DM,2024-12-22,Pending,,
R161_0,161,WhatsApp,2025-01-29,Accepted,2025-02-17,Credit Pack
R161_1,161,WhatsApp,2025-01-10,Accepted,2025-01-17,Credit Pack
R170_0,170,Link,2024-01-19,Accepted,2024-01-31,1 month Pro
R171_0,171,WhatsApp,2024-02-17,Accepted,2024-02-24,Credit Pack
R171_1,171,Link,2024-03-08,Pending,,
R171_2,171,WhatsApp,2024-02-12,Accepted,2024-02-23,1 month Pro
R171_3,171,WhatsApp,2024-02-16,Pending,,
R171_4,171,Team Invite,2024-02-10,Pending,,
R180_0,180,Instagram DM,2024-07-12,Pending,,
R180_1,180,WhatsApp,2024-07-17,Accepted,2024-08-05,Credit Pack
R183_0,183,WhatsApp,2024-07-05,Pending,,
R197_0,197,Link,2024-05-28,Pending,,
R199_0,199,WhatsApp,2024-05-28,Accepted,2024-06-15,Credit Pack
R199_1,199,WhatsApp,2024-06-06,Pending,,
R199_2,199,Instagram DM,2024-05-14,Accepted,2024-05-26,Credit Pack
R199_3,199,Link,2024-05-31,Accepted,2024-06-11,1 month Pro
R199_4,199,WhatsApp,2024-05-11,Accepted,2024-05-24,1 month Pro
R200_0,200,Team Invite,2025-01-29,Accepted,2025-02-13,1 month Pro
R200_1,200,Email,2025-01-16,Pending,,
R200_2,200,Team Invite,2025-01-18,Pending,,
R200_3,200,Instagram DM,2025-01-02,Pending,,
R200_4,200,Link,2025-01-11,Accepted,2025-01-13,Template Unlock
R211_0,211,WhatsApp,2024-04-07,Pending,,
R211_1,211,Email,2024-05-06,Accepted,2024-05-11,Credit Pack
R211_2,211,Link,2024-04-22,Accepted,2024-05-10,Template Unlock
R211_3,211,Link,2024-04-18,Accepted,2024-04-22,1 month Pro
R211_4,211,Link,2024-04-11,Pending,,
R214_0,214,WhatsApp,2024-07-22,Pending,,
R214_1,214,WhatsApp,2024-07-02,Accepted,2024-07-08,1 month Pro
R214_2,214,WhatsApp,2024-06-28,Pending,,
R214_3,214,Link,2024-07-08,Pending,,
R232_0,232,Instagram DM,2024-12-21,Accepted,2024-12-30,Template Unlock
R232_1,232,Instagram DM,2024-12-12,Accepted,2024-12-29,1 month Pro
R232_2,232,Team Invite,2024-12-10,Accepted,2024-12-28,Credit Pack
R232_3,232,Email,2024-12-09,Accepted,2024-12-20,1 month Pro
R232_4,232,Link,2024-12-20,Accepted,2024-12-22,1 month Pro
R239_0,239,Link,2024-05-01,Accepted,2024-05-17,Template Unlock
R239_1,239,WhatsApp,2024-05-21,Pending,,
R239_2,239,Link,2024-05-26,Pending,,
R240_0,240,Team Invite,2024-09-04,Pending,,
R240_1,240,Email,2024-08-24,Pending,,
R240_2,240,Link,2024-08-24,Accepted,2024-08-31,1 month Pro
R243_0,243,Instagram DM,2024-02-12,Accepted,2024-02-16,1 month Pro
R243_1,243,Link,2024-03-08,Accepted,2024-03-17,1 month Pro
R243_2,243,Instagram DM,2024-02-22,Pending,,
R243_3,243,Email,2024-02-14,Pending,,
R243_4,243,Link,2024-02-09,Accepted,2024-02-12,Credit Pack
R250_0,250,Email,2024-02-19,Pending,,
R250_1,250,WhatsApp,2024-01-20,Pending,,
R250_2,250,WhatsApp,2024-02-13,Accepted,2024-03-01,Template Unlock
R264_0,264,Link,2024-12-16,Accepted,2024-12-19,1 month Pro
R265_0,265,WhatsApp,2025-02-03,Pending,,
R265_1,265,Link,2024-12-30,Accepted,2025-01-02,Credit Pack
R265_2,265,WhatsApp,2024-12-29,Accepted,2024-12-30,1 month Pro
R268_0,268,Link,2024-06-19,Pending,,
R268_1,268,Link,2024-06-12,Accepted,2024-06-13,Credit Pack
R289_0,289,Team Invite,2024-08-23,Pending,,
R289_1,289,Link,2024-08-27,Accepted,2024-09-03,Credit Pack
R289_2,289,WhatsApp,2024-08-25,Pending,,
R289_3,289,Instagram DM,2024-07-21,Accepted,2024-07-31,1 month Pro
R289_4,289,WhatsApp,2024-08-06,Pending,,
R292_0,292,Email,2024-05-02,Accepted,2024-05-09,1 month Pro
R292_1,292,Link,2024-04-20,Accepted,2024-05-02,Template Unlock
R292_2,292,Team Invite,2024-05-21,Accepted,2024-06-08,1 month Pro
R292_3,292,Link,2024-05-12,Accepted,2024-05-20,1 month Pro
R295_0,295,WhatsApp,2024-07-31,Accepted,2024-08-09,1 month Pro
R307_0,307,Link,2024-05-17,Accepted,2024-05-24,Template Unlock
R307_1,307,Link,2024-04-29,Accepted,2024-05-13,1 month Pro
R315_0,315,Team Invite,2024-04-03,Accepted,2024-04-15,1 month Pro
R315_1,315,Instagram DM,2024-04-09,Accepted,2024-04-12,1 month Pro
R315_2,315,Team Invite,2024-04-11,Pending,,
R315_3,315,Link,2024-04-11,Pending,,
R315_4,315,Link,2024-05-11,Accepted,2024-05-24,1 month Pro
R316_0,316,Team Invite,2024-09-02,Accepted,2024-09-08,Credit Pack
R316_1,316,WhatsApp,2024-10-10,Accepted,2024-10-28,Template Unlock
