user_id,plan_type,subscription_start,subscription_end,is_active_subscription,billing_period,amount_paid,currency,upgrade_from,downgrade_to,churn_reason
1,Free,2024-02-02,,0,,0.0,USD,,,
2,Pro Monthly,2024-10-30,,1,Monthly,15.0,USD,,,
3,Teams,2024-10-04,,1,Monthly,30.0,USD,,,
4,Free,2024-06-09,,0,,0.0,USD,,,
5,Free,2024-06-07,,0,,0.0,USD,,,
6,Free,2024-11-09,,0,,0.0,USD,,,
7,Pro Yearly,2024-03-07,,1,Yearly,150.0,USD,,,
8,Free,2024-09-11,,0,,0.0,USD,,,
9,Pro Monthly,2024-04-13,2024-11-09,0,Monthly,15.0,USD,,,Low usage
10,Free,2024-02-04,,0,,0.0,USD,,,
11,Pro Monthly,2024-08-17,2025-02-05,0,Monthly,15.0,USD,,,Price too high
12,Free,2024-12-22,,0,,0.0,USD,,,
13,Free,2024-09-25,,0,,0.0,USD,,,
14,Pro Yearly,2024-11-08,2025-02-22,0,Yearly,150.0,USD,,,Switched tool
15,Free,2024-09-18,,0,,0.0,USD,,,
16,Free,2024-10-13,,0,,0.0,USD,,,
17,Free,2024-07-06,,0,,0.0,USD,,,
18,Pro Monthly,2024-03-30,2024-08-25,0,Monthly,15.0,USD,,,Switched tool
19,Pro Yearly,2024-12-03,,1,Yearly,150.0,USD,,,
20,Pro Yearly,2024-07-21,,1,Yearly,150.0,USD,,,
21,Free,2024-07-01,,0,,0.0,USD,,,
22,Free,2024-05-15,,0,,0.0,USD,,,
23,Free,2024-03-07,,0,,0.0,USD,,,
24,Pro Yearly,2024-12-23,,1,Yearly,150.0,USD,,,
25,Pro Yearly,2024-11-07,,1,Yearly,150.0,USD,,,
26,Free,2024-08-23,,0,,0.0,USD,,,
27,Pro Monthly,2024-06-17,,1,Monthly,15.0,USD,,,
28,Pro Yearly,2024-11-23,,1,Yearly,150.0,USD,,,
29,Free,2024-07-18,,0,,0.0,USD,,,
30,Free,2024-06-10,,0,,0.0,USD,,,
31,Free,2024-06-13,,0,,0.0,USD,,,
32,Free,2024-03-23,,0,,0.0,USD,,,
33,Free,2024-02-03,,0,,0.0,USD,,,
34,Teams,2024-08-19,,1,Yearly,150.0,USD,Pro Yearly,,
35,Free,2024-11-20,,0,,0.0,USD,,,
36,Free,2024-01-24,,0,,0.0,USD,,,
37,Pro Monthly,2024-11-17,,1,Monthly,15.0,USD,,,
38,Free,2024-10-29,,0,,0.0,USD,,,
39,Pro Monthly,2024-05-07,2024-08-15,0,Monthly,15.0,USD,,,Price too high
40,Free,2024-08-18,,0,,0.0,USD,,,
41,Free,2024-03-01,,0,,0.0,USD,,,
42,Free,2024-10-03,,0,,0.0,USD,,,
43,Free,2024-09-12,,0,,0.0,USD,,,
44,Pro Monthly,2024-05-12,2024-07-15,0,Monthly,15.0,USD,,,Switched tool
45,Free,2024-01-25,,0,,0.0,USD,,,
46,Free,2024-12-20,,0,,0.0,USD,,,
47,Free,2024-06-11,,0,,0.0,USD,,,
48,Teams,2024-12-10,,1,Monthly,30.0,USD,,,
49,Free,2024-09-04,,0,,0.0,USD,,,
50,Teams,2024-10-25,,1,Monthly,30.0,USD,,,
51,Free,2024-10-04,,0,,0.0,USD,,,
52,Free,2024-03-12,,0,,0.0,USD,,,
53,Teams,2024-06-16,,1,Monthly,30.0,USD,,,
54,Free,2024-06-19,,0,,0.0,USD,,,
55,Pro Monthly,2024-07-25,2024-09-30,0,Monthly,15.0,USD,,,Low usage
56,Free,2024-01-16,,0,,0.0,USD,,,
57,Pro Monthly,2024-07-26,,1,Monthly,15.0,USD,,,
58,Pro Monthly,2024-03-24,2024-05-30,0,Monthly,15.0,USD,,,Switched tool
59,Free,2024-09-28,,0,,0.0,USD,,,
60,Free,2024-09-06,,0,,0.0,USD,,,
61,Free,2024-12-02,,0,,0.0,USD,,,
62,Pro Monthly,2024-10-21,,1,Monthly,15.0,USD,,,
63,Pro Monthly,2024-05-28,,1,Monthly,15.0,USD,,,
64,Free,2024-12-19,,0,,0.0,USD,,,
