user_id,signup_date,country,region,device_primary,acquisition_channel,persona_type,industry,is_team_account,is_student,status,last_active_date,churn_date,first_activation_date
1,2024-02-02,India,APAC,iOS,Organic,Student,Education,False,True,Dormant,2024-10-22,,1707004800000000000
2,2024-10-09,India,APAC,iOS,Organic,SMBOwner,Business,False,False,Dormant,2024-11-16,,1729209600000000000
3,2024-08-26,India,APAC,iOS,Organic,Creator,CreatorEconomy,False,False,Active,2024-10-28,,1724716800000000000
4,2024-06-09,Australia,Other,Web,Referral,Student,Education,False,True,Active,2024-07-28,,1718150400000000000
5,2024-06-07,US,NA,Android,SEO,Student,Education,False,True,Active,2025-02-01,,
6,2024-11-09,Brazil,LATAM,Android,Organic,SocialMediaManager,Agency,False,False,Active,2025-02-01,,
7,2024-02-01,Philippines,APAC,Web,Organic,Creator,CreatorEconomy,False,False,Dormant,2025-01-01,,1707350400000000000
8,2024-09-11,India,APAC,iOS,Email,SMBOwner,Business,False,False,Active,2025-02-01,,1726790400000000000
9,2024-03-14,Canada,NA,Android,SEO,SMBOwner,Business,False,False,Dormant,2025-01-26,,1710720000000000000
10,2024-02-04,India,APAC,Android,SEO,SocialMediaManager,Agency,False,False,Active,2024-11-05,,
11,2024-07-11,India,APAC,Web,Organic,Student,Education,False,True,Churned,2025-02-01,1739577600000000000,
12,2024-12-22,India,APAC,Web,Organic,SocialMediaManager,Agency,False,False,Churned,2025-02-01,1740268800000000000,1734998400000000000
13,2024-09-25,India,APAC,iOS,Referral,Student,Education,False,True,Active,2024-11-13,,
14,2024-10-04,UK,EMEA,Web,Referral,SMBOwner,Business,False,False,Churned,2025-02-01,1739664000000000000,1728518400000000000
15,2024-09-18,Canada,NA,Web,SEO,Student,Education,False,True,Dormant,2025-02-01,,
16,2024-10-13,UK,EMEA,Android,Referral,Student,Education,False,True,Churned,2025-02-01,1740355200000000000,1729123200000000000
17,2024-07-06,US,NA,Android,Organic,SocialMediaManager,Agency,False,False,Active,2025-02-01,,1720396800000000000
18,2024-02-16,Australia,Other,Web,Referral,SocialMediaManager,Agency,False,False,Churned,2024-06-22,1720396800000000000,
19,2024-11-02,Australia,Other,Web,Organic,SMBOwner,Business,False,False,Active,2025-01-09,,1731110400000000000
20,2024-06-13,Brazil,LATAM,Android,Organic,SocialMediaManager,Agency,False,False,Active,2024-08-30,,1718409600000000000
21,2024-07-01,UK,EMEA,iOS,Referral,Creator,CreatorEconomy,False,False,Reactivated,2024-12-25,,1720569600000000000
22,2024-05-15,US,NA,Android,Email,Creator,CreatorEconomy,False,False,Churned,2025-02-01,1739059200000000000,
23,2024-03-07,US,NA,Android,Referral,Creator,CreatorEconomy,False,False,Active,2025-01-15,,
24,2024-12-04,US,NA,Web,PaidSocial,SMBOwner,Business,False,False,Active,2025-02-01,,1733529600000000000
25,2024-10-12,India,APAC,Android,Referral,SMBOwner,Business,False,False,Reactivated,2025-01-04,,
26,2024-08-23,Brazil,LATAM,Android,PaidSocial,SMBOwner,Business,False,False,Active,2024-08-25,,1725062400000000000
27,2024-05-26,Philippines,APAC,iOS,Organic,SocialMediaManager,Agency,False,False,Active,2025-01-26,,1717027200000000000
28,2024-10-27,Other,Other,Android,SEO,SocialMediaManager,Agency,False,False,Active,2025-02-01,,1730073600000000000
29,2024-07-18,India,APAC,Web,PaidSocial,SMBOwner,Business,False,False,Active,2025-01-03,,1721606400000000000
30,2024-06-10,India,APAC,Web,SEO,Student,Education,False,True,Active,2025-02-01,,
31,2024-06-13,India,APAC,iOS,Referral,Student,Education,False,True,Dormant,2025-02-01,,
32,2024-03-23,Brazil,LATAM,Web,SEO,Creator,CreatorEconomy,False,False,Active,2024-05-26,,
33,2024-02-03,UK,EMEA,Android,Organic,Student,Education,False,True,Dormant,2024-09-12,,
34,2024-07-21,Australia,Other,Android,Organic,SocialMediaManager,Agency,False,False,Active,2024-08-01,,1721779200000000000
35,2024-11-20,Philippines,APAC,Web,Referral,SMBOwner,Business,False,False,Dormant,2025-02-01,,1732579200000000000
36,2024-01-24,India,APAC,Android,Organic,Student,Education,False,True,Active,2024-02-06,,
37,2024-11-09,US,NA,Android,Referral,Creator,CreatorEconomy,False,False,Dormant,2025-02-01,,
38,2024-10-29,Australia,Other,iOS,Organic,Student,Education,False,True,Churned,2025-02-01,1740096000000000000,1730419200000000000
39,2024-04-11,India,APAC,Web,Organic,Creator,CreatorEconomy,False,False,Dormant,2024-07-13,,1713052800000000000
40,2024-08-18,US,NA,Web,Referral,Creator,CreatorEconomy,False,False,Active,2024-11-10,,
41,2024-03-01,US,NA,Web,SEO,Student,Education,False,True,Churned,2024-10-25,1730851200000000000,1709596800000000000
42,2024-10-03,US,NA,Web,Referral,Student,Education,False,True,Active,2025-01-05,,1728432000000000000
43,2024-09-12,Other,Other,Android,Organic,SocialMediaManager,Agency,False,False,Active,2025-01-30,,1726444800000000000
44,2024-05-09,India,APAC,Web,SEO,SocialMediaManager,Agency,False,False,Churned,2024-05-14,1717286400000000000,1715817600000000000
45,2024-01-25,US,NA,Web,SEO,Student,Education,False,True,Active,2024-05-31,,
46,2024-12-20,Other,Other,iOS,Referral,Creator,CreatorEconomy,False,False,Active,2025-02-01,,1735257600000000000
47,2024-06-11,India,APAC,Web,Organic,Student,Education,False,True,Churned,2024-07-01,1720310400000000000,
48,2024-11-21,Canada,NA,Web,Organic,Creator,CreatorEconomy,False,False,Active,2025-02-01,,
49,2024-09-04,Philippines,APAC,iOS,PaidSocial,Student,Education,False,True,Dormant,2024-12-11,,1725840000000000000
50,2024-10-11,India,APAC,Android,Email,Creator,CreatorEconomy,True,False,Active,2025-02-01,,1729209600000000000
51,2024-10-04,India,APAC,Web,Referral,Student,Education,True,True,Active,2024-11-23,,1728604800000000000
52,2024-03-12,India,APAC,iOS,Referral,SocialMediaManager,Agency,False,False,Active,2024-04-30,,1710547200000000000
53,2024-05-12,India,APAC,Android,SEO,SMBOwner,Business,False,False,Active,2025-02-01,,1715817600000000000
